Trace
Swept SA
A.17.55,N9010A
19071285642.8214,-59.5461097781842
19076288144.072,-59.6359110554869
19081290645.3227,-59.7236891747829
19086293146.5733,-59.7950902728049
19091295647.8239,-59.7969793184589
19096298149.0745,-59.7606484551446
19101300650.3252,-59.8138498172197
19106303151.5758,-59.7875973625704
19111305652.8264,-59.7313969532699
19116308154.077,-59.7731277635059
19121310655.3277,-59.7224015631383
19126313156.5783,-59.6913294614047
19131315657.8289,-59.7212845174292
19136318159.0795,-59.6747548670872
19141320660.3302,-59.7535765421063
19146323161.5808,-59.6569421642201
19151325662.8314,-59.7221603292233
19156328164.082,-59.7078196610374
19161330665.3327,-59.7373994892425
19166333166.5833,-59.7563775273703
19171335667.8339,-59.818541794834
19176338169.0845,-59.7930342227435
19181340670.3352,-59.8120538584163
19186343171.5858,-59.8598982973616
19191345672.8364,-59.9685576238992
19196348174.087,-59.9354543966655
19201350675.3377,-59.9918828175569
19206353176.5883,-59.9902439067877
19211355677.8389,-59.9924003101822
19216358179.0895,-60.0550950738248
19221360680.3402,-60.0815064488225
19226363181.5908,-60.0178085201521
19231365682.8414,-60.0473162863782
19236368184.092,-60.0063856335031
19241370685.3427,-59.9092425469253
19246373186.5933,-59.8966111990662
19251375687.8439,-59.8345370410006
19256378189.0945,-59.8474769002002
19261380690.3452,-59.9064430260277
19266383191.5958,-59.9210543653164
19271385692.8464,-60.0299599637145
19276388194.0971,-59.9769281993136
19281390695.3477,-60.0727494495328
19286393196.5983,-60.1305029539035
19291395697.8489,-60.0593779047985
19296398199.0995,-60.0751241940774
19301400700.3502,-59.9478249213336
19306403201.6008,-59.8907470300493
19311405702.8514,-59.821484096924
19316408204.1021,-59.691813460942
19321410705.3527,-59.6399352907288
19326413206.6033,-59.5252190770799
19331415707.8539,-59.499879135765
19336418209.1046,-59.51017435182
19341420710.3552,-59.5719686269925
19346423211.6058,-59.6074343454308
19351425712.8564,-59.6670265872746
19356428214.1071,-59.7420524927066
19361430715.3577,-59.7703917527603
19366433216.6083,-59.771651829751
19371435717.8589,-59.9241651632909
19376438219.1096,-59.8604771167401
19381440720.3602,-59.879081998478
19386443221.6108,-59.8815125658645
19391445722.8614,-59.8525142608167
19396448224.1121,-59.849789572515
19401450725.3627,-59.8310106532137
19406453226.6133,-59.8203326246586
19411455727.8639,-59.7593600799655
19416458229.1146,-59.8156637520741
19421460730.3652,-59.7780018215793
19426463231.6158,-59.7973142574471
19431465732.8664,-59.7705799091592
19436468234.1171,-59.8263608311656
19441470735.3677,-59.8084718340378
19446473236.6183,-59.8105074222115
19451475737.8689,-59.7582609109659
19456478239.1196,-59.7636914375953
19461480740.3702,-59.6727934256629
19466483241.6208,-59.5804847574054
19471485742.8714,-59.5852917228088
19476488244.1221,-59.497435750407
19481490745.3727,-59.3954591678462
19486493246.6233,-59.3123908085719
19491495747.8739,-59.2611658426287
19496498249.1246,-59.2009599500809
19501500750.3752,-59.1138337899849
19506503251.6258,-59.0650318128939
19511505752.8764,-59.0779410422688
19516508254.1271,-59.1004092186162
19521510755.3777,-59.0611981574539
19526513256.6283,-59.0908725577926
19531515757.8789,-59.1255133921286
19536518259.1296,-59.0906039812536
19541520760.3802,-59.1058323934303
19546523261.6308,-59.1052342172735
19551525762.8814,-59.0662512158092
19556528264.1321,-58.9675985672394
19561530765.3827,-59.0011566547621
19566533266.6333,-58.9355386307022
19571535767.8839,-58.8080378973941
19576538269.1346,-58.7288905048905
19581540770.3852,-58.7301487551331
19586543271.6358,-58.6602144840051
19591545772.8864,-58.4921714645066
19596548274.1371,-58.5116124836266
19601550775.3877,-58.4438071070956
19606553276.6383,-58.2890127963927
